scientific_name,license,author,image_url,wikimedia_page
Abelia chinensis,CC-BY-4.0,aaronliston,https://upload.wikimedia.org/wikipedia/commons/3/39/Abelia_chinensis%2C_Danxiashan%2C_Guangdong%2C_China_1.jpg,https://commons.wikimedia.org/wiki/File%3AAbelia%20chinensis%2C%20Danxiashan%2C%20Guangdong%2C%20China%201.jpg
Abelia dielsii,,,,
Abelia × grandiflora,PD,Mariko GODA,https://upload.wikimedia.org/wikipedia/commons/f/f0/Abelia_flowers.jpg,https://commons.wikimedia.org/wiki/File%3AAbelia%20flowers.jpg
Abelmoschus esculentus,PD,"Bill Tarpenning, USDA",https://upload.wikimedia.org/wikipedia/commons/b/bf/Abelmoschus_esculentus.jpg,https://commons.wikimedia.org/wiki/File%3AAbelmoschus%20esculentus.jpg
Abelmoschus moschatus,PD,Francisco Manuel Blanco (O.S.A.),https://upload.wikimedia.org/wikipedia/commons/8/86/Abelmoschus_moschatus_Blanco2.245.png,https://commons.wikimedia.org/wiki/File%3AAbelmoschus%20moschatus%20Blanco2.245.png
Abelmoschus sagittifolius,,,,
Abutilon megapotamicum,CC-BY-3.0,Cayuqueo,https://upload.wikimedia.org/wikipedia/commons/0/0a/Farolito2.jpg,https://commons.wikimedia.org/wiki/File%3AFarolito2.jpg
Abutilon palmeri,PD,Stickpen,https://upload.wikimedia.org/wikipedia/commons/f/f0/Abutilonpalmeri1.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilonpalmeri1.jpg
Abutilon pictum,CC-BY-3.0,Morray,https://upload.wikimedia.org/wikipedia/commons/6/6f/Abutilon_pictum_%282%29.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilon%20pictum%20%282%29.jpg
Abutilon striatum,CC-BY-3.0,Morray,https://upload.wikimedia.org/wikipedia/commons/6/6f/Abutilon_pictum_%282%29.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilon%20pictum%20%282%29.jpg
Acacia stenophylla,CC-BY-2.5,Don A.W. Carlson,https://upload.wikimedia.org/wikipedia/commons/5/5e/Acacia-stenophylla-flowers.jpg,https://commons.wikimedia.org/wiki/File%3AAcacia-stenophylla-flowers.jpg
Acanthocereus tetragonus 'Fairy Castles',,,,
Acanthus ilicifolius,PD,Francisco Manuel Blanco,https://upload.wikimedia.org/wikipedia/commons/d/dc/Acanthus_ilicifolius_Blanco1.153.jpg,https://commons.wikimedia.org/wiki/File%3AAcanthus%20ilicifolius%20Blanco1.153.jpg
Acanthus mollis,CC-BY-3.0,Dcrjsr,https://upload.wikimedia.org/wikipedia/commons/b/be/Acanthus_mollis_spike_pair_Erice.jpg,https://commons.wikimedia.org/wiki/File%3AAcanthus%20mollis%20spike%20pair%20Erice.jpg
Acanthus spinosus,CC0,Pierpao,https://upload.wikimedia.org/wikipedia/commons/8/8b/Acanthus_spinosus_in_Bosco_Bottari.jpg,https://commons.wikimedia.org/wiki/File%3AAcanthus%20spinosus%20in%20Bosco%20Bottari.jpg
Acer campestre,CC-BY-3.0,David_Perez,https://upload.wikimedia.org/wikipedia/commons/2/27/Acer_campestre_02_by-dpc.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20campestre%2002%20by-dpc.jpg
Acer capillipes,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/c/c5/Acer_capillipes_-_VanDusen_Botanical_Garden_-_Vancouver%2C_BC_-_DSC06843.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20capillipes%20-%20VanDusen%20Botanical%20Garden%20-%20Vancouver%2C%20BC%20-%20DSC06843.jpg
Acer cappadocicum,CC-BY-3.0,Jean-Pol_GRANDMONT,https://upload.wikimedia.org/wikipedia/commons/5/54/Acer_Cappadocicum_ssp._sinicum_var._tricaudatum_JPG1L.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20Cappadocicum%20ssp.%20sinicum%20var.%20tricaudatum%20JPG1L.jpg
Acer carpinifolium,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/e/e2/Acer_carpinifolium_-_Botanischer_Garten_M%C3%BCnchen-Nymphenburg_-_DSC07564.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20carpinifolium%20-%20Botanischer%20Garten%20M%C3%BCnchen-Nymphenburg%20-%20DSC07564.JPG
Acer circinatum,CC-BY-2.0,IIP Photo Archive,https://upload.wikimedia.org/wikipedia/commons/f/f3/Molalla_River%2C_Oregon%2C_U.S.A.jpg,https://commons.wikimedia.org/wiki/File%3AMolalla%20River%2C%20Oregon%2C%20U.S.A.jpg
Acer cissifolium,CC-BY-3.0,Jean-Pol_GRANDMONT,https://upload.wikimedia.org/wikipedia/commons/7/79/Acer_cissifolium_JPG1b.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20cissifolium%20JPG1b.jpg
Acer davidii,CC-BY-2.0,James St. John,https://upload.wikimedia.org/wikipedia/commons/4/47/Acer_davidii_%28David%27s_maple%29_5_%2831389276487%29.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20davidii%20%28David%27s%20maple%29%205%20%2831389276487%29.jpg
Acer ginnala,CC-BY-4.0,oleg_kosterin,https://upload.wikimedia.org/wikipedia/commons/8/87/Acer_ginnala%2C_Amur_River%2C_Khabarovsky_District%2C_Khabarovsk_Krai%2C_Russia_1.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20ginnala%2C%20Amur%20River%2C%20Khabarovsky%20District%2C%20Khabarovsk%20Krai%2C%20Russia%201.jpg
Acer glabrum,CC-BY-4.0,Robert_Flogaus-Faust,https://upload.wikimedia.org/wikipedia/commons/d/da/Acer_glabrum_ssp_douglasii_RF.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20glabrum%20ssp%20douglasii%20RF.jpg
Acer griseum,PD,Joshnadler,https://upload.wikimedia.org/wikipedia/commons/7/7d/Stamp_Student_Union_Acer_griseum_paperbark_maple.JPG,https://commons.wikimedia.org/wiki/File%3AStamp%20Student%20Union%20Acer%20griseum%20paperbark%20maple.JPG
Acer macrophyllum,PD,Angilbas,https://upload.wikimedia.org/wikipedia/commons/6/65/Acer_macrophyllum_1199.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20macrophyllum%201199.jpg
Acer maximowiczianum,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/f/fe/Acer_maximowiczianum%2C_Arnold_Arboretum_-_IMG_5917.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20maximowiczianum%2C%20Arnold%20Arboretum%20-%20IMG%205917.JPG
Acer miyabei,CC-BY-3.0,Jean-Pol_GRANDMONT,https://upload.wikimedia.org/wikipedia/commons/8/81/Acer_miyabei_JPG1La.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20miyabei%20JPG1La.jpg
Acer mono,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/e/ee/Acer_mono%2C_Arnold_Arboretum_-_IMG_5915.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20mono%2C%20Arnold%20Arboretum%20-%20IMG%205915.JPG
