scientific_name,license,author,image_url,wikimedia_page
Plant name,PD,Bitplane,https://upload.wikimedia.org/wikipedia/commons/2/29/English_Daisy_%28Bellis_Perennis%29.jpg,https://commons.wikimedia.org/wiki/File%3AEnglish%20Daisy%20%28Bellis%20Perennis%29.jpg
Abelia chinensis,PD,"Lindley, John; Ridgway, James",https://upload.wikimedia.org/wikipedia/commons/a/ac/Edwards%27s_botanical_register_%28Plate_08%29_%288409037626%29.jpg,https://commons.wikimedia.org/wiki/File%3AEdwards%27s%20botanical%20register%20%28Plate%2008%29%20%288409037626%29.jpg
Abelia dielsii,,,,
Abelia × grandiflora,PD,Mariko GODA,https://upload.wikimedia.org/wikipedia/commons/f/f0/Abelia_flowers.jpg,https://commons.wikimedia.org/wiki/File%3AAbelia%20flowers.jpg
Abelmoschus esculentus,PD,"Bill Tarpenning, USDA",https://upload.wikimedia.org/wikipedia/commons/b/bf/Abelmoschus_esculentus.jpg,https://commons.wikimedia.org/wiki/File%3AAbelmoschus%20esculentus.jpg
Abelmoschus moschatus,PD,Francisco Manuel Blanco (O.S.A.),https://upload.wikimedia.org/wikipedia/commons/8/86/Abelmoschus_moschatus_Blanco2.245.png,https://commons.wikimedia.org/wiki/File%3AAbelmoschus%20moschatus%20Blanco2.245.png
Abelmoschus sagittifolius,,,,
Abutilon megapotamicum,PD,Hans_B.~commonswikiaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/8/80/Abutilon_megapotamicum4.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilon%20megapotamicum4.jpg
Abutilon palmeri,PD,Stickpen,https://upload.wikimedia.org/wikipedia/commons/f/f0/Abutilonpalmeri1.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilonpalmeri1.jpg
Abutilon pictum,PD,Tangopaso,https://upload.wikimedia.org/wikipedia/commons/1/15/Abutilon_striatum.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilon%20striatum.jpg
Abutilon striatum,PD,Tangopaso,https://upload.wikimedia.org/wikipedia/commons/1/15/Abutilon_striatum.jpg,https://commons.wikimedia.org/wiki/File%3AAbutilon%20striatum.jpg
Acacia stenophylla,PD,Chhe,https://upload.wikimedia.org/wikipedia/commons/4/4c/AcaciaStenophylla.jpg,https://commons.wikimedia.org/wiki/File%3AAcaciaStenophylla.jpg
Acanthocereus tetragonus 'Fairy Castles',,,,
Acanthus ilicifolius,PD,Francisco Manuel Blanco,https://upload.wikimedia.org/wikipedia/commons/d/dc/Acanthus_ilicifolius_Blanco1.153.jpg,https://commons.wikimedia.org/wiki/File%3AAcanthus%20ilicifolius%20Blanco1.153.jpg
Acanthus mollis,PD,Swallowtail Garden Seeds,https://upload.wikimedia.org/wikipedia/commons/5/5c/Bear%27s_Breeches_by_Johannes_Simon_Holtzbecher_%281659%29_%2816653796206%29.png,https://commons.wikimedia.org/wiki/File%3ABear%27s%20Breeches%20by%20Johannes%20Simon%20Holtzbecher%20%281659%29%20%2816653796206%29.png
Acanthus spinosus,CC0,Pierpao,https://upload.wikimedia.org/wikipedia/commons/8/8b/Acanthus_spinosus_in_Bosco_Bottari.jpg,https://commons.wikimedia.org/wiki/File%3AAcanthus%20spinosus%20in%20Bosco%20Bottari.jpg
