[2025-01-27 00:47:12] info: 	z2m: Logging to console, file (filename: log.log)
[2025-01-27 00:47:12] info: 	z2m: Starting Zigbee2MQTT version 1.41.0 (commit #69f7282)
[2025-01-27 00:47:12] info: 	z2m: Starting zigbee-herdsman (2.1.7)
[2025-01-27 00:47:12] info: 	zh:ember: Using default stack config.
[2025-01-27 00:47:12] info: 	zh:ember: ======== Ember Adapter Starting ========
[2025-01-27 00:47:12] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2025-01-27 00:47:12] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2025-01-27 00:47:12] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2025-01-27 00:47:12] info: 	zh:ember:uart:ash: Serial port opened
[2025-01-27 00:47:12] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2025-01-27 00:47:13] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2025-01-27 00:47:13] info: 	zh:ember:uart:ash: ======== ASH started ========
[2025-01-27 00:47:13] info: 	zh:ember:ezsp: ======== EZSP started ========
[2025-01-27 00:47:13] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2025-01-27 00:47:13] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.3 [GA]","build":0,"major":7,"minor":4,"patch":3,"special":0,"type":170}
[2025-01-27 00:47:14] info: 	zh:ember: [STACK STATUS] Network up.
[2025-01-27 00:47:14] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2025-01-27 00:47:14] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2025-01-27 00:47:14] info: 	z2m: zigbee-herdsman started (resumed)
[2025-01-27 00:47:14] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":3,"revision":"7.4.3 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2025-01-27 00:47:14] info: 	z2m: 0xa4c138814dc68814 (0xa4c138814dc68814): TS0601_soil - Tuya Soil sensor (EndDevice)
[2025-01-27 00:47:14] info: 	z2m: Currently 1 devices are joined.
[2025-01-27 00:47:14] info: 	z2m: Zigbee: disabling joining new devices.
[2025-01-27 00:47:14] info: 	z2m: Connecting to MQTT server at mqtt://localhost:1883
[2025-01-27 00:47:14] info: 	z2m: Connected to MQTT server
[2025-01-27 00:47:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2025-01-27 00:47:15] info: 	z2m: Started frontend on port 8080
[2025-01-27 00:47:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c138814dc68814', payload '{"battery":80,"battery_state":"high","linkquality":216,"soil_moisture":100,"temperature":23}'
[2025-01-27 00:47:15] info: 	z2m: Zigbee2MQTT started!
[2025-01-27 00:50:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0xa4c138814dc68814","ieee_address":"0xa4c138814dc68814"},"type":"device_announce"}'
[2025-01-27 01:04:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c138814dc68814', payload '{"battery":80,"battery_state":"high","linkquality":255,"soil_moisture":100,"temperature":23}'
[2025-01-27 01:04:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c138814dc68814', payload '{"battery":80,"battery_state":"high","linkquality":255,"soil_moisture":100,"temperature":23}'
[2025-01-27 01:04:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c138814dc68814', payload '{"battery":80,"battery_state":"high","linkquality":255,"soil_moisture":100,"temperature":23}'
[2025-01-27 01:04:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c138814dc68814', payload '{"battery":80,"battery_state":"high","linkquality":255,"soil_moisture":100,"temperature":23}'
[2025-01-27 01:05:59] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/health_check', payload '{"data":{"healthy":true},"status":"ok"}'
[2025-01-27 01:06:32] info: 	z2m: Successfully changed options
[2025-01-27 01:06:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/options', payload '{"data":{"restart_required":false},"status":"ok","transaction":"rgek1-3"}'
[2025-01-27 01:06:37] info: 	z2m: Successfully changed options
[2025-01-27 01:06:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/options', payload '{"data":{"restart_required":false},"status":"ok","transaction":"rgek1-6"}'
[2025-01-27 01:06:43] info: 	z2m: Configuring '0xa4c138814dc68814'
[2025-01-27 01:06:46] info: 	z2m: Successfully configured '0xa4c138814dc68814'
[2025-01-27 01:06:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/configure', payload '{"data":{"id":"0xa4c138814dc68814"},"status":"ok","transaction":"rgek1-7"}'
[2025-01-27 01:07:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/health_check', payload '{"data":{"healthy":true},"status":"ok"}'
[2025-01-27 01:07:57] info: 	z2m: Configuring '0xa4c138814dc68814'
[2025-01-27 01:07:59] info: 	z2m: Zigbee: allowing new devices to join.
[2025-01-27 01:07:59] info: 	zh:ember: [STACK STATUS] Network opened.
